Designator,Mid X,Mid Y,Rotation,Layer
C10,112.3,55.1,90.0,top
C12,69.2,12.3,0.0,top
C13,19.4,52.7,180.0,top
C14,101.8,40.9,270.0,top
C15,18.9,47.4,0.0,top
C16,18.9,48.9,0.0,top
C17,18.9,44.4,0.0,top
C18,18.9,45.9,0.0,top
C19,25.3,46.6,270.0,top
C2,99.5,58.1,0.0,top
C20,18.9,39.8,0.0,top
C21,18.9,41.3,0.0,top
C22,18.9,36.8,0.0,top
C23,18.9,38.3,0.0,top
C24,25.3,38.9,270.0,top
C25,30.0,9.4,0.0,top
C26,31.825,32.6,180.0,top
C27,64.9,11.3,90.0,top
C28,100.0,39.4,90.0,top
C29,39.7,31.6,270.0,top
C30,41.1,25.1,180.0,top
C31,28.9,21.8,90.0,top
C32,41.1,23.6,180.0,top
C33,41.1,26.6,180.0,top
C34,30.4,20.9,90.0,top
C35,24.9,30.0,270.0,top
C36,25.3,53.4,180.0,top
C37,100.4,35.4,0.0,top
C4,30.0,7.8,0.0,top
C6,53.9,31.7,270.0,top
C7,43.3,44.5,0.0,top
C8,102.4,19.4,270.0,top
C9,69.1,8.8,90.0,top
D1,93.2,58.0,180.0,top
D10,47.8,50.0,180.0,top
D11,38.5,52.0,180.0,top
D12,38.5,49.0,180.0,top
D13,47.8,54.5,180.0,top
D14,47.8,51.5,180.0,top
D15,99.8,1.2,180.0,top
D16,96.3,1.2,180.0,top
D17,73.157838,31.5,90.0,top
D18,103.0,58.005,0.0,top
D19,33.4,56.6,270.0,top
D2,96.3,58.0,0.0,top
D20,32.0,56.6,270.0,top
D21,42.3,57.3,0.0,top
D22,30.6,56.6,270.0,top
D23,39.6,57.3,180.0,top
D24,29.2,56.6,270.0,top
D25,85.7,34.7,180.0,top
D26,61.1,34.7,180.0,top
D27,69.282982,34.700647,180.0,top
D28,77.482982,34.7,180.0,top
D29,112.8,34.1,270.0,top
D3,15.3625,48.1,180.0,top
D30,69.6,1.2,180.0,top
D31,15.4,39.4,180.0,top
D32,23.8,63.8,0.0,top
D33,43.395,25.8,90.0,top
D34,47.8,39.5,180.0,top
D35,47.8,42.5,180.0,top
D36,47.8,45.5,180.0,top
D37,47.8,48.5,180.0,top
D38,47.8,38.0,180.0,top
D39,47.8,41.0,180.0,top
D4,81.3,31.5,90.0,top
D40,47.8,44.0,180.0,top
D41,47.8,47.0,180.0,top
D42,13.5,51.4,180.0,top
D43,12.4,41.6,180.0,top
D44,15.3625,43.8,180.0,top
D45,19.7,34.0,270.0,top
D46,12.4,46.0,180.0,top
D47,15.6,35.5,270.0,top
D48,33.1,5.1,180.0,top
D49,22.8,11.1,90.0,top
D5,56.7,31.5,90.0,top
D50,18.9,11.1,90.0,top
D51,31.1,16.305,180.0,top
D52,57.7,21.5,270.0,top
D53,61.15,21.5375,270.0,top
D54,65.0,21.5625,270.0,top
D55,70.05,21.5375,270.0,top
D6,64.962992,31.5,90.0,top
D7,38.5,50.5,180.0,top
D8,38.5,47.5,180.0,top
D9,47.8,53.0,180.0,top
F1,34.6,8.2,180.0,top
F2,10.1,10.5,0.0,top
F3,99.1,49.2,270.0,top
F4,101.5,49.2,270.0,top
F5,48.0,60.8,270.0,top
F6,26.2,59.2,90.0,top
F8,10.1,8.1,0.0,top
FID1,15.1,2.4,0.0,top
FID2,89.9,47.4,0.0,top
