Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.01uFx50V,C100042
"C10, C36, C37, C9",CP_EIA-3528-21_Kemet-B,4,100uFx10V,C600583
"C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C27, C28, C29, C30, C34, C4, C7, C8",0603,22,0.1uFx50V,C282519
"C25, C31, C32, C33, C6",0603,5,10uFx10V,C2959727
"C26, C35",0603,2,14pFx50V,C5360816
"D1, D10, D11, D12, D13, D14, D19, D2, D20, D21, D22, D23, D24, D34, D35, D36, D37, D38, D39, D40, D41, D7, D8, D9",D_SOD-523,24,ESD5Z3.3T5G,C22440077
D15,0603,1,LTST-S270KRKT,C125114
"D16, D29, D30, D32",0603,4,LTST-S270KGKT,C125113
"D17, D18, D4, D5, D6",0603,5,19-21/GHC-YR1S2/4T,C2986048
"D25, D26, D27, D28",D_SOD-123,4,MMSD4148,C11177
"D3, D31, D42, D43, D44, D45, D46, D47, D52, D53, D54, D55",SOT-23,12,BAT54S,C19726
"D33, D49, D50, D51",0603,4,XL-1608SURC-06,C965799
D48,D_SMA,1,SMAJ5.0A,C83329
F1,1206,1,MF-NSMF200-2,C89656
"F2, F3, F4, F5, F6, F8",1206,6,MF-NSMF110-2,C89654
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A-120,C709358
J2,PinHeader_2x20_P2.54mm_Horizontal,1,Conn_02x20_Odd_Even,C124369
J3,PinHeader_2x20_P2.54mm_Vertical,1,Raspberry_Pi_4,C19190512
J4,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C19190512
J5,JST_SM06B-SRSS-TB,1,SM06B-SRSS-TB,C160405
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,HC-1.0-4PWT,C2845363
"J7, J8, J9",GCT_USB1125-GF-B_REVA,3,USB_A,C5984324
"K1, K2, K3, K4",G6S-2-5V,4,G6S-2-5V,C32776
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002,C81445
R1,0603,1,1M,C107698
"R10, R11, R12, R13, R16, R17, R18, R19, R25, R27, R29, R31, R33, R34, R36, R38, R40, R42, R43, R44, R45, R46, R47, R54, R55, R56, R57, R58, R59, R6, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R8, R9",0603,44,10k,C98220
"R14, R15, R20, R21, R4, R48, R49, R5, R52, R53, R61, R62, R63, R64, R65, R77, R78, R79",0603,18,330R,C23138
"R2, R3",0603,2,5.1k,C2907114
R24,0603,1,100R,C2907089
"R26, R28, R30, R32, R35, R37, R39, R41",0603,8,110k,C25805
"R50, R51",0603,2,51k,C2907180
R60,0603,1,2.7k,C13167
R80,0603,1,0,C95177
"U1, U12, U4, U5, U6",SOT-23-6,5,USBLC6-2SC6,C5180249
"U10, U11",SOIC-8_3.9x4.9mm_P1.27mm,2,MIC2026-2xM,C148072
"U2, U3",TSSOP-24_4.4x7.8mm_P0.65mm,2,TCA9535PWR,C22396388
"U7, U8",TSSOP-10_3x3mm_P0.5mm,2,ADS1015IDGS,C193969
U9,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,C9359
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C70565
